A,B,daddaprod8,approxprod8_1step,truncapproxprod8_1step,approxprod8_2step,truncapproxprod8_2step
00,00,0000,0000,0000,0000,0000
00,01,0000,0000,0000,0000,0000
00,02,0000,0000,0000,0000,0000
00,03,0000,0000,0000,0000,0000
00,04,0000,0000,0000,0000,0000
00,05,0000,0000,0000,0000,0000
00,06,0000,0000,0000,0000,0000
00,07,0000,0000,0000,0000,0000
00,08,0000,0000,0000,0000,0000
00,09,0000,0000,0000,0000,0000
00,0a,0000,0000,0000,0000,0000
00,0b,0000,0000,0000,0000,0000
00,0c,0000,0000,0000,0000,0000
00,0d,0000,0000,0000,0000,0000
00,0e,0000,0000,0000,0000,0000
00,0f,0000,0000,0000,0000,0000
00,10,0000,0000,0000,0000,0000
00,11,0000,0000,0000,0000,0000
00,12,0000,0000,0000,0000,0000
00,13,0000,0000,0000,0000,0000
00,14,0000,0000,0000,0000,0000
00,15,0000,0000,0000,0000,0000
00,16,0000,0000,0000,0000,0000
00,17,0000,0000,0000,0000,0000
00,18,0000,0000,0000,0000,0000
00,19,0000,0000,0000,0000,0000
00,1a,0000,0000,0000,0000,0000
00,1b,0000,0000,0000,0000,0000
00,1c,0000,0000,0000,0000,0000
00,1d,0000,0000,0000,0000,0000
00,1e,0000,0000,0000,0000,0000
00,1f,0000,0000,0000,0000,0000
00,20,0000,0000,0000,0000,0000
00,21,0000,0000,0000,0000,0000
00,22,0000,0000,0000,0000,0000
00,23,0000,0000,0000,0000,0000
00,24,0000,0000,0000,0000,0000
00,25,0000,0000,0000,0000,0000
00,26,0000,0000,0000,0000,0000
00,27,0000,0000,0000,0000,0000
00,28,0000,0000,0000,0000,0000
00,29,0000,0000,0000,0000,0000
00,2a,0000,0000,0000,0000,0000
00,2b,0000,0000,0000,0000,0000
00,2c,0000,0000,0000,0000,0000
00,2d,0000,0000,0000,0000,0000
00,2e,0000,0000,0000,0000,0000
00,2f,0000,0000,0000,0000,0000
00,30,0000,0000,0000,0000,0000
00,31,0000,0000,0000,0000,0000
00,32,0000,0000,0000,0000,0000
00,33,0000,0000,0000,0000,0000
00,34,0000,0000,0000,0000,0000
00,35,0000,0000,0000,0000,0000
00,36,0000,0000,0000,0000,0000
00,37,0000,0000,0000,0000,0000
00,38,0000,0000,0000,0000,0000
00,39,0000,0000,0000,0000,0000
00,3a,0000,0000,0000,0000,0000
00,3b,0000,0000,0000,0000,0000
00,3c,0000,0000,0000,0000,0000
00,3d,0000,0000,0000,0000,0000
00,3e,0000,0000,0000,0000,0000
00,3f,0000,0000,0000,0000,0000
00,40,0000,0000,0000,0000,0000
00,41,0000,0000,0000,0000,0000
00,42,0000,0000,0000,0000,0000
00,43,0000,0000,0000,0000,0000
00,44,0000,0000,0000,0000,0000
00,45,0000,0000,0000,0000,0000
00,46,0000,0000,0000,0000,0000
00,47,0000,0000,0000,0000,0000
00,48,0000,0000,0000,0000,0000
00,49,0000,0000,0000,0000,0000
00,4a,0000,0000,0000,0000,0000
00,4b,0000,0000,0000,0000,0000
00,4c,0000,0000,0000,0000,0000
00,4d,0000,0000,0000,0000,0000
00,4e,0000,0000,0000,0000,0000
00,4f,0000,0000,0000,0000,0000
00,50,0000,0000,0000,0000,0000
00,51,0000,0000,0000,0000,0000
00,52,0000,0000,0000,0000,0000
00,53,0000,0000,0000,0000,0000
00,54,0000,0000,0000,0000,0000
00,55,0000,0000,0000,0000,0000
00,56,0000,0000,0000,0000,0000
00,57,0000,0000,0000,0000,0000
00,58,0000,0000,0000,0000,0000
00,59,0000,0000,0000,0000,0000
00,5a,0000,0000,0000,0000,0000
00,5b,0000,0000,0000,0000,0000
